Kappale,Sami,Joe,Mikko,Taneli,Arttu,Ville,Kirmo
Tungevaag & Raaban – Parade ,"4,5","0,5",3,2,2,2,"4,5"
Asa – Mä haluun olla hippi ,1,"2,25",4,1,2,2,"2,5"
Chubby Wolf – You are the Description that brings me out of Myself,"0,5",1,1,3,4,1,2
Supperheads – Easy,2,"2,75",5,3,2,5,"3,5"
Dream Theater – The Silent Man,"2,25","2,25",1,3,"2,5","4,5","3,75"
Tony Bennett & Lady Gaga – It Don't Mean a Thing,3,"1,25",3,3,4,"1,5",4
Elina Born – Miss Calculation,2,"2,5",4,4,1,3,"3,75"
Caravan Palace – Lone Digger,"0,5","2,5",5,5,4,"1,75","4,75"
Avril Lavigne – When You're Gone,"4,5","2,75",2,3,1,"3,75","4,25"
Halestorm – Here's to US,"3,5",4,4,4,"0,5","3,5",4
